Agency,Agency_Type,Distribution_Channel,Product_Name,Duration,Destination,Net_Sales,Commision,Age
7,1,1,10,37,129,30.0,0.0,43
7,1,1,10,2,68,16.0,0.0,36
7,1,1,10,31,68,58.0,0.0,29
7,1,1,10,41,63,20.0,0.0,40
7,1,1,10,6,79,10.0,0.0,29
7,1,1,10,8,57,17.0,0.0,43
7,1,1,10,5,57,37.0,0.0,21
7,1,1,10,126,26,27.0,0.0,36
7,1,1,10,10,88,51.0,0.0,36
7,1,1,10,29,102,13.0,0.0,21
7,1,1,0,50,4,24.0,0.0,36
7,1,1,0,1,145,20.0,0.0,36
7,1,1,0,2,26,26.0,0.0,36
7,1,1,0,1,118,86.0,0.0,36
7,1,1,0,8,93,28.0,0.0,36
7,1,1,0,19,79,20.0,0.0,62
7,1,1,0,24,68,90.0,0.0,36
8,0,1,25,11,56,50.0,20.0,118
12,0,1,25,4,19,15.0,6.0,44
13,0,1,22,55,118,21.35,5.98,48
13,0,1,22,15,118,6.5,1.82,48
9,0,1,8,45,4,26.0,9.1,31
9,0,1,8,181,57,30.0,10.5,48
9,0,1,8,5,57,22.0,7.7,29
9,0,1,8,22,129,18.0,6.3,66
9,0,1,8,76,4,35.0,12.25,57
9,0,1,8,41,26,44.0,15.4,37
9,0,1,8,43,129,22.0,7.7,34
9,0,1,8,5,26,22.0,7.7,41
1,0,1,2,56,102,75.96,26.59,48
1,0,1,2,3,118,12.5,4.38,48
1,0,1,2,3,79,4.99,1.75,48
2,0,1,9,20,118,47.0,11.75,30
2,0,1,9,29,118,27.0,6.75,30
2,0,1,9,164,118,69.55,17.39,26
2,0,1,9,23,118,30.55,7.64,35
2,0,1,17,13,118,19.5,4.88,34
2,0,1,17,29,118,31.85,7.96,45
2,0,1,13,23,118,77.35,19.34,52
6,1,1,16,23,79,29.7,17.82,31
6,1,1,16,29,4,39.6,23.76,52
6,1,1,16,5,79,0.0,29.7,53
6,1,1,16,26,140,148.5,89.1,40
6,1,1,16,26,129,29.7,17.82,31
6,1,1,16,152,140,9.9,5.94,31
6,1,1,16,48,4,59.4,35.64,26
6,1,1,16,5,79,39.6,23.76,60
6,1,1,16,30,79,59.4,35.64,27
6,1,1,16,9,129,49.5,29.7,50
6,1,1,16,32,79,49.5,29.7,31
6,1,1,16,8,79,39.6,23.76,30
6,1,1,16,4,79,19.8,11.88,29
6,1,1,16,111,4,89.1,53.46,31
6,1,1,16,34,4,19.8,11.88,34
6,1,1,16,19,79,39.6,23.76,35
6,1,1,16,20,4,148.5,89.1,34
6,1,1,16,201,4,0.0,77.22,23
6,1,1,16,2,118,9.9,5.94,44
7,1,1,1,4,145,20.0,0.0,36
7,1,1,1,13,129,20.0,0.0,36
7,1,1,1,39,103,69.0,0.0,36
7,1,1,1,10,53,20.0,0.0,36
7,1,1,1,48,79,20.0,0.0,53
7,1,1,1,62,126,22.0,0.0,36
7,1,1,1,4,79,20.0,0.0,53
7,1,1,1,90,68,42.0,0.0,36
7,1,1,1,10,102,56.0,0.0,36
7,1,1,1,13,79,20.0,0.0,43
7,1,1,1,19,129,20.0,0.0,36
7,1,1,1,3,118,20.0,0.0,39
7,1,1,1,18,129,20.0,0.0,45
7,1,1,1,18,145,20.0,0.0,36
7,1,1,1,22,26,69.0,0.0,36
7,1,1,1,6,26,36.0,0.0,36
7,1,1,1,11,79,20.0,0.0,48
7,1,1,1,18,63,112.0,0.0,36
7,1,1,1,12,26,27.0,0.0,36
7,1,1,1,81,68,32.0,0.0,24
7,1,1,1,36,118,67.0,0.0,36
7,1,1,1,28,118,20.0,0.0,36
7,1,1,1,57,68,53.0,0.0,57
7,1,1,1,42,79,20.0,0.0,36
7,1,1,1,91,63,44.0,0.0,29
7,1,1,1,7,53,20.0,0.0,61
7,1,1,1,12,79,20.0,0.0,27
7,1,1,1,49,79,20.0,0.0,27
7,1,1,1,13,57,20.0,0.0,36
7,1,1,1,28,56,50.0,0.0,36
7,1,1,1,124,63,89.0,0.0,25
7,1,1,10,7,79,16.0,0.0,36
7,1,1,10,22,53,29.0,0.0,36
7,1,1,10,1,140,20.0,0.0,47
7,1,1,10,49,56,24.0,0.0,36
7,1,1,10,28,129,27.0,0.0,36
7,1,1,10,13,26,33.0,0.0,36
7,1,1,10,118,88,10.0,0.0,35
7,1,1,10,7,118,18.0,0.0,36
7,1,1,10,7,68,58.0,0.0,36
7,1,1,10,52,122,46.0,0.0,36
7,1,1,10,59,88,16.0,0.0,21
7,1,1,10,38,53,12.0,0.0,36
7,1,1,10,18,129,29.0,0.0,36
7,1,1,10,73,140,69.0,0.0,59
7,1,1,10,21,57,15.0,0.0,31
7,1,1,10,25,79,20.0,0.0,36
7,1,1,10,19,68,19.0,0.0,36
7,1,1,10,20,79,13.0,0.0,36
7,1,1,10,33,139,74.0,0.0,36
7,1,1,10,31,129,40.0,0.0,30
7,1,1,10,24,129,10.0,0.0,36
7,1,1,10,1,140,17.0,0.0,28
7,1,1,10,12,79,13.0,0.0,36
7,1,1,10,5,79,10.0,0.0,36
7,1,1,10,25,31,80.0,0.0,36
7,1,1,10,12,53,80.0,0.0,36
7,1,1,10,12,129,34.0,0.0,36
7,1,1,10,94,4,80.0,0.0,36
7,1,1,10,13,88,10.0,0.0,36
7,1,1,10,46,4,80.0,0.0,36
7,1,1,10,29,68,22.0,0.0,30
7,1,1,10,57,118,11.0,0.0,40
7,1,1,10,82,44,80.0,0.0,36
7,1,1,10,13,123,10.0,0.0,36
7,1,1,10,12,21,14.0,0.0,36
7,1,1,10,9,129,13.0,0.0,36
7,1,1,10,6,129,23.0,0.0,33
7,1,1,0,55,4,26.0,0.0,36
7,1,1,0,2,79,20.0,0.0,36
7,1,1,0,26,79,20.0,0.0,24
7,1,1,0,4,26,20.0,0.0,36
7,1,1,0,25,26,46.0,0.0,36
7,1,1,0,49,118,20.0,0.0,29
8,0,1,25,4,56,62.0,24.8,118
12,0,1,25,14,19,15.0,6.0,39
13,0,1,22,54,118,1.98,0.56,48
13,0,1,22,40,118,3.89,1.09,48
13,0,1,22,11,118,7.21,2.02,48
9,0,1,8,5,53,22.0,7.7,67
9,0,1,8,5,57,22.0,7.7,53
9,0,1,8,6,129,22.0,7.7,60
9,0,1,8,2,145,18.0,6.3,57
9,0,1,8,15,21,30.0,10.5,57
9,0,1,8,90,79,22.0,7.7,57
9,0,1,8,28,53,35.0,12.25,52
9,0,1,8,21,145,22.0,7.7,40
9,0,1,8,130,57,33.0,11.55,38
9,0,1,8,34,26,22.0,7.7,46
9,0,1,25,49,5,67.0,23.45,49
9,0,1,25,33,4,92.0,32.2,72
2,0,1,9,19,118,17.55,4.39,31
2,0,1,9,4,118,17.55,4.39,35
2,0,1,9,9,118,17.55,4.39,26
2,0,1,9,28,118,17.55,4.39,33
2,0,1,9,18,118,0.0,7.47,45
2,0,1,9,18,118,38.35,9.59,34
2,0,1,9,55,118,94.0,23.5,30
2,0,1,9,32,118,44.85,11.21,27
2,0,1,17,13,118,62.25,15.56,27
2,0,1,17,13,118,81.75,20.44,30
2,0,1,17,12,118,62.25,15.56,29
2,0,1,17,10,118,43.55,10.89,45
2,0,1,17,10,118,43.55,10.89,46
2,0,1,17,34,118,109.0,27.25,27
2,0,1,4,388,118,252.85,63.21,29
2,0,1,4,388,118,260.63,65.16,30
2,0,1,4,369,118,260.63,65.16,47
2,0,1,4,368,118,252.85,63.21,30
6,1,1,16,114,139,69.3,41.58,51
6,1,1,16,20,61,39.6,23.76,51
6,1,1,16,40,121,128.7,77.22,55
6,1,1,16,3,79,29.7,17.82,28
6,1,1,16,85,93,108.9,65.34,35
6,1,1,16,5,79,0.0,29.7,54
6,1,1,16,17,140,118.8,71.28,32
6,1,1,16,6,140,29.7,17.82,31
6,1,1,16,133,96,0.0,65.34,31
6,1,1,16,5,139,39.6,23.76,31
6,1,1,16,5,129,29.7,17.82,44
6,1,1,16,18,4,138.6,83.16,51
6,1,1,16,5,4,29.7,17.82,29
6,1,1,16,45,129,19.8,11.88,33
6,1,1,16,8,121,49.5,29.7,31
6,1,1,16,103,140,158.4,95.04,29
6,1,1,16,12,63,29.7,17.82,31
7,1,1,1,110,118,20.0,0.0,35
7,1,1,1,147,139,64.0,0.0,36
7,1,1,1,32,128,112.0,0.0,36
7,1,1,1,26,79,20.0,0.0,36
7,1,1,1,37,140,112.0,0.0,31
7,1,1,1,32,140,50.0,0.0,25
7,1,1,1,7,53,23.0,0.0,28
7,1,1,1,39,118,38.0,0.0,36
7,1,1,1,27,57,20.0,0.0,36
7,1,1,1,22,57,20.0,0.0,36
7,1,1,1,306,63,31.0,0.0,36
7,1,1,1,11,4,74.0,0.0,36
7,1,1,1,12,71,37.0,0.0,36
7,1,1,1,21,26,52.0,0.0,36
7,1,1,1,56,61,69.0,0.0,36
7,1,1,1,56,61,69.0,0.0,36
7,1,1,1,20,129,20.0,0.0,36
7,1,1,1,41,145,26.0,0.0,36
7,1,1,1,15,102,30.0,0.0,36
7,1,1,1,20,56,46.0,0.0,36
7,1,1,1,9,129,20.0,0.0,36
7,1,1,1,14,129,20.0,0.0,40
7,1,1,1,35,118,56.0,0.0,36
7,1,1,1,2,79,29.0,0.0,36
7,1,1,1,8,79,20.0,0.0,35
7,1,1,1,9,118,0.0,0.0,36
7,1,1,1,8,79,32.0,0.0,36
7,1,1,1,10,145,23.0,0.0,36
7,1,1,1,24,145,71.0,0.0,36
7,1,1,1,4,118,20.0,0.0,36
7,1,1,1,3,79,20.0,0.0,36
7,1,1,1,4,26,37.0,0.0,36
7,1,1,1,3,79,20.0,0.0,25
7,1,1,1,17,129,26.0,0.0,69
7,1,1,1,75,4,31.0,0.0,36
7,1,1,1,9,118,30.0,0.0,36
7,1,1,1,47,79,37.0,0.0,31
7,1,1,1,28,123,39.0,0.0,36
7,1,1,1,83,102,20.0,0.0,39
7,1,1,1,56,4,27.0,0.0,36
7,1,1,10,1,140,24.0,0.0,60
7,1,1,10,73,129,16.0,0.0,36
7,1,1,10,12,79,10.0,0.0,36
7,1,1,10,15,118,19.0,0.0,36
7,1,1,10,12,145,37.0,0.0,36
7,1,1,10,27,118,70.0,0.0,26
7,1,1,10,24,79,14.0,0.0,36
7,1,1,10,27,79,10.0,0.0,49
7,1,1,10,41,68,10.0,0.0,22
7,1,1,10,41,68,10.0,0.0,23
7,1,1,10,35,88,13.0,0.0,39
7,1,1,10,8,140,42.0,0.0,55
7,1,1,10,34,26,33.0,0.0,36
7,1,1,10,27,21,17.0,0.0,36
7,1,1,10,54,68,39.0,0.0,36
7,1,1,10,11,53,18.0,0.0,36
7,1,1,10,5,53,29.0,0.0,36
7,1,1,10,40,53,24.0,0.0,28
7,1,1,10,29,126,43.0,0.0,36
7,1,1,10,7,118,10.0,0.0,36
7,1,1,10,28,129,30.0,0.0,36
7,1,1,10,57,123,10.0,0.0,32
7,1,1,10,38,140,18.0,0.0,38
7,1,1,10,53,93,59.0,0.0,36
7,1,1,10,40,118,16.0,0.0,45
7,1,1,10,18,88,19.0,0.0,36
7,1,1,10,32,26,33.0,0.0,36
7,1,1,10,13,53,21.0,0.0,53
7,1,1,10,25,56,20.0,0.0,36
7,1,1,10,15,26,32.0,0.0,36
7,1,1,10,11,26,24.0,0.0,36
7,1,1,10,13,26,16.0,0.0,36
7,1,1,10,36,140,11.0,0.0,21
7,1,1,10,26,79,22.0,0.0,54
7,1,1,10,27,56,0.0,0.0,36
7,1,1,10,49,4,18.0,0.0,36
7,1,1,10,33,57,10.0,0.0,36
7,1,1,10,27,57,10.0,0.0,28
7,1,1,10,81,90,45.0,0.0,36
7,1,1,10,27,53,30.0,0.0,20
7,1,1,10,25,4,45.0,0.0,36
7,1,1,10,82,102,14.0,0.0,36
7,1,1,10,70,126,21.0,0.0,36
7,1,1,10,19,79,10.0,0.0,36
7,1,1,10,19,79,10.0,0.0,36
7,1,1,0,14,26,20.0,0.0,36
7,1,1,0,6,88,20.0,0.0,57
7,1,1,0,9,88,20.0,0.0,36
7,1,1,0,52,4,28.0,0.0,36
7,1,1,0,17,63,39.0,0.0,36
7,1,1,0,25,26,27.0,0.0,36
7,1,1,0,5,118,51.0,0.0,36
7,1,1,0,49,102,20.0,0.0,36
7,1,1,0,5,145,20.0,0.0,29
7,1,1,0,17,79,37.0,0.0,36
8,0,1,25,16,56,50.0,20.0,118
12,0,1,25,75,19,31.0,12.4,78
12,0,1,25,3,19,15.0,6.0,48
13,0,1,22,39,118,1.48,0.41,48
13,0,1,22,53,118,73.67,20.65,48
13,0,1,22,40,118,7.21,2.02,48
13,0,1,22,13,118,5.09,1.43,48
9,0,1,8,4,88,18.0,6.3,29
9,0,1,8,54,53,26.0,9.1,40
9,0,1,8,3,79,18.0,6.3,33
9,0,1,8,5,79,18.0,6.3,40
9,0,1,8,104,63,35.0,12.25,38
9,0,1,8,10,129,22.0,7.7,42
9,0,1,8,24,56,35.0,12.25,53
9,0,1,8,10,129,22.0,7.7,45
9,0,1,8,48,56,50.0,17.5,53
9,0,1,8,6,129,18.0,6.3,49
9,0,1,8,7,126,26.0,9.1,47
9,0,1,8,20,123,26.0,9.1,45
9,0,1,8,6,26,26.0,9.1,47
9,0,1,8,15,129,22.0,7.7,49
9,0,1,8,4,129,18.0,6.3,55
9,0,1,8,48,63,26.0,9.1,32
9,0,1,8,14,129,22.0,7.7,70
9,0,1,8,14,88,33.0,11.55,34
9,0,1,8,42,26,63.0,22.05,48
9,0,1,8,13,129,22.0,7.7,68
9,0,1,25,131,139,125.0,43.75,31
9,0,1,25,36,139,87.0,30.45,51
9,0,1,25,202,41,149.0,52.15,38
9,0,1,25,42,26,92.0,32.2,53
9,0,1,25,11,44,87.0,30.45,49
9,0,1,25,10,26,45.0,15.75,50
5,1,0,12,92,79,29.0,9.57,72
5,1,0,12,92,79,29.0,9.57,77
4,1,0,12,5,79,29.0,9.57,118
4,1,0,12,5,79,29.0,9.57,118
4,1,0,12,5,79,29.0,9.57,118
3,1,0,12,36,129,29.0,9.57,63
1,0,1,2,2,102,7.44,2.6,48
1,0,1,2,2,129,9.48,3.32,48
2,0,1,9,10,118,38.35,9.59,71
2,0,1,9,17,118,38.35,9.59,45
2,0,1,9,32,118,22.1,5.53,28
2,0,1,9,32,118,38.35,9.59,26
2,0,1,9,4,118,17.55,4.39,22
2,0,1,9,7,118,17.25,4.31,60
2,0,1,9,179,118,682.0,170.5,25
2,0,1,9,33,118,17.25,4.31,30
2,0,1,9,5,118,17.55,4.39,25
2,0,1,9,31,118,38.35,9.59,56
2,0,1,17,18,118,71.0,17.75,42
2,0,1,17,11,118,62.25,15.56,33
2,0,1,17,47,118,70.85,17.71,39
2,0,1,17,61,118,25.9,6.47,37
2,0,1,17,5,118,25.9,6.47,42
2,0,1,13,26,118,119.0,29.75,48
2,0,1,4,365,118,187.85,46.96,32
2,0,1,4,374,118,252.85,63.21,42
2,0,1,4,386,118,252.85,63.21,33
2,0,1,3,369,118,389.35,97.34,42
6,1,1,16,86,79,39.6,23.76,43
6,1,1,16,2,79,9.9,5.94,67
6,1,1,16,2,140,19.8,11.88,30
6,1,1,16,17,129,29.7,17.82,52
6,1,1,16,60,79,19.8,11.88,31
6,1,1,16,28,129,49.5,29.7,31
6,1,1,16,8,79,19.8,11.88,69
6,1,1,16,4,138,19.8,11.88,31
6,1,1,16,32,79,0.0,89.1,45
6,1,1,16,26,4,39.6,23.76,43
6,1,1,16,100,4,0.0,106.92,31
6,1,1,16,105,139,39.6,23.76,32
6,1,1,16,244,129,49.5,29.7,41
6,1,1,16,34,4,59.4,35.64,35
7,1,1,1,56,129,31.0,0.0,32
7,1,1,1,52,102,34.0,0.0,36
7,1,1,1,53,102,20.0,0.0,26
7,1,1,1,39,79,20.0,0.0,36
7,1,1,1,99,129,33.0,0.0,36
7,1,1,1,45,126,25.0,0.0,36
7,1,1,1,9,57,20.0,0.0,51
7,1,1,1,21,79,20.0,0.0,36
7,1,1,1,52,102,34.0,0.0,36
7,1,1,1,52,102,34.0,0.0,36
7,1,1,1,76,26,38.0,0.0,36
7,1,1,1,25,102,70.0,0.0,36
7,1,1,1,46,129,24.0,0.0,36
7,1,1,1,202,122,76.0,0.0,36
7,1,1,1,103,68,56.0,0.0,36
7,1,1,1,11,118,26.0,0.0,36
7,1,1,1,33,53,21.0,0.0,26
7,1,1,1,108,88,20.0,0.0,29
7,1,1,1,19,79,20.0,0.0,50
7,1,1,1,279,139,107.0,0.0,36
7,1,1,1,9,26,87.0,0.0,36
7,1,1,1,13,57,20.0,0.0,65
7,1,1,1,11,129,20.0,0.0,36
7,1,1,1,8,118,30.0,0.0,36
7,1,1,1,16,26,46.0,0.0,36
7,1,1,1,6,57,26.0,0.0,36
7,1,1,1,10,21,103.0,0.0,36
7,1,1,1,14,79,20.0,0.0,39
7,1,1,1,45,26,0.0,0.0,36
7,1,1,1,277,31,21.0,0.0,36
7,1,1,1,45,26,33.0,0.0,36
7,1,1,1,107,129,20.0,0.0,38
7,1,1,1,10,26,68.0,0.0,36
7,1,1,1,61,57,25.0,0.0,36
7,1,1,1,83,26,28.0,0.0,36
7,1,1,1,61,57,25.0,0.0,36
7,1,1,1,47,129,68.0,0.0,36
7,1,1,1,34,4,62.0,0.0,36
7,1,1,1,25,140,98.0,0.0,38
7,1,1,1,7,91,112.0,0.0,36
7,1,1,1,7,79,20.0,0.0,36
7,1,1,10,18,26,31.0,0.0,36
7,1,1,10,38,140,10.0,0.0,42
7,1,1,10,12,53,21.0,0.0,51
7,1,1,10,6,118,13.0,0.0,28
7,1,1,10,14,129,27.0,0.0,36
7,1,1,10,41,57,12.0,0.0,36
7,1,1,10,56,126,21.0,0.0,36
7,1,1,10,7,77,19.0,0.0,36
7,1,1,10,87,139,80.0,0.0,43
7,1,1,10,22,79,11.0,0.0,45
7,1,1,10,24,118,60.0,0.0,36
7,1,1,10,59,88,16.0,0.0,36
7,1,1,10,12,79,20.0,0.0,45
7,1,1,10,76,56,22.0,0.0,36
7,1,1,10,12,145,15.0,0.0,36
7,1,1,10,45,129,30.0,0.0,36
7,1,1,10,83,102,23.0,0.0,36
7,1,1,10,10,56,45.0,0.0,36
7,1,1,10,28,56,25.0,0.0,36
7,1,1,10,276,29,80.0,0.0,36
7,1,1,10,27,26,46.0,0.0,49
7,1,1,10,28,56,35.0,0.0,36
7,1,1,10,19,40,80.0,0.0,36
7,1,1,10,123,79,26.0,0.0,28
7,1,1,10,11,57,32.0,0.0,36
7,1,1,10,11,129,15.0,0.0,36
7,1,1,10,12,118,10.0,0.0,36
7,1,1,10,4,129,10.0,0.0,36
7,1,1,10,7,129,10.0,0.0,24
7,1,1,10,12,4,33.0,0.0,36
7,1,1,10,54,23,10.0,0.0,22
7,1,1,10,2,118,14.0,0.0,36
7,1,1,10,3,68,49.0,0.0,21
7,1,1,10,47,26,31.0,0.0,36
7,1,1,10,9,53,15.0,0.0,36
7,1,1,10,277,23,80.0,0.0,29
7,1,1,10,15,118,80.0,0.0,36
7,1,1,10,26,102,19.0,0.0,29
7,1,1,10,39,57,27.0,0.0,37
7,1,1,10,40,63,43.0,0.0,36
7,1,1,10,4,145,10.0,0.0,36
7,1,1,10,39,63,80.0,0.0,36
7,1,1,10,5,53,10.0,0.0,36
7,1,1,10,81,63,36.0,0.0,36
7,1,1,10,6,118,16.0,0.0,45
7,1,1,10,8,129,10.0,0.0,53
7,1,1,10,5,79,19.0,0.0,36
7,1,1,10,122,102,13.0,0.0,36
7,1,1,10,31,79,14.0,0.0,36
7,1,1,10,148,63,40.0,0.0,36
7,1,1,10,7,145,10.0,0.0,58
7,1,1,10,123,118,49.0,0.0,36
7,1,1,10,28,61,72.0,0.0,36
7,1,1,10,32,68,55.0,0.0,36
7,1,1,10,64,63,38.0,0.0,36
7,1,1,10,18,145,0.0,0.0,36
7,1,1,10,17,79,40.0,0.0,35
7,1,1,10,33,26,32.0,0.0,36
7,1,1,10,7,21,41.0,0.0,36
7,1,1,10,22,123,30.0,0.0,36
7,1,1,10,17,129,27.0,0.0,36
7,1,1,10,41,23,40.0,0.0,26
7,1,1,10,278,23,62.0,0.0,32
7,1,1,10,9,53,39.0,0.0,61
7,1,1,10,25,118,16.0,0.0,36
7,1,1,10,26,56,30.0,0.0,36
7,1,1,10,18,126,17.0,0.0,36
7,1,1,0,204,118,32.0,0.0,36
7,1,1,0,112,68,23.0,0.0,36
7,1,1,0,3,68,20.0,0.0,36
7,1,1,0,2,132,56.0,0.0,36
7,1,1,0,10,118,20.0,0.0,55
7,1,1,0,7,118,20.0,0.0,36
7,1,1,0,8,53,55.0,0.0,49
7,1,1,0,27,118,20.0,0.0,36
7,1,1,0,54,110,20.0,0.0,36
7,1,1,0,12,4,47.0,0.0,36
7,1,1,0,13,145,20.0,0.0,39
7,1,1,0,31,140,20.0,0.0,45
8,0,1,25,10,56,31.0,12.4,118
8,0,1,25,18,56,0.0,28.8,118
8,0,1,25,7,56,62.0,24.8,118
8,0,1,25,12,56,60.0,24.0,118
8,0,1,25,15,56,50.0,20.0,118
10,1,1,25,40,57,28.0,10.64,48
10,1,1,25,38,91,75.0,28.5,48
10,1,1,25,111,44,95.0,36.1,48
12,0,1,25,4,19,15.0,6.0,52
12,0,1,25,5,19,15.0,6.0,38
12,0,1,25,3,19,15.0,6.0,39
12,0,1,25,15,19,15.0,6.0,45
13,0,1,22,78,118,8.49,2.38,48
9,0,1,8,7,57,30.0,10.5,35
9,0,1,8,97,63,44.0,15.4,20
9,0,1,8,13,88,33.0,11.55,63
9,0,1,8,13,88,30.0,10.5,60
9,0,1,8,8,77,26.0,9.1,57
9,0,1,8,8,57,18.0,6.3,25
9,0,1,8,7,129,22.0,7.7,35
9,0,1,8,10,26,26.0,9.1,42
9,0,1,8,118,129,22.0,7.7,34
9,0,1,8,39,53,26.0,9.1,68
9,0,1,8,12,102,18.0,6.3,34
9,0,1,8,12,53,26.0,9.1,43
9,0,1,8,73,26,26.0,9.1,41
9,0,1,8,22,129,30.0,10.5,60
9,0,1,25,142,4,58.0,20.3,24
9,0,1,25,4,26,36.0,12.6,47
9,0,1,25,18,140,121.0,42.35,35
9,0,1,25,15,53,69.0,24.15,44
9,0,1,25,15,53,69.0,24.15,41
1,0,1,2,351,102,29.19,10.22,48
2,0,1,9,26,118,23.8,5.95,34
2,0,1,9,30,118,35.25,8.81,27
2,0,1,9,100,118,202.0,50.5,34
2,0,1,9,7,118,23.4,5.85,30
2,0,1,9,26,118,71.0,17.75,26
2,0,1,9,8,118,17.55,4.39,29
2,0,1,17,16,118,74.25,18.56,27
2,0,1,17,12,118,24.05,6.01,38
2,0,1,17,68,118,24.05,6.01,47
2,0,1,17,9,118,62.25,15.56,27
2,0,1,17,23,118,108.0,27.0,29
2,0,1,17,26,118,127.0,31.75,30
2,0,1,3,368,118,389.35,97.34,50
6,1,1,16,163,46,19.8,11.88,29
6,1,1,16,5,79,29.7,17.82,54
6,1,1,16,7,140,9.9,5.94,43
6,1,1,16,12,129,39.6,23.76,38
6,1,1,16,8,140,19.8,11.88,52
6,1,1,16,197,41,217.8,130.68,45
6,1,1,16,53,140,128.7,77.22,43
6,1,1,16,31,139,99.0,59.4,46
6,1,1,16,13,140,49.5,29.7,53
6,1,1,16,95,129,29.7,17.82,60
6,1,1,16,8,79,29.7,17.82,35
6,1,1,16,125,96,49.5,29.7,31
6,1,1,16,8,4,29.7,17.82,57
6,1,1,16,5,140,19.8,11.88,55
6,1,1,16,9,140,89.1,53.46,45
6,1,1,16,26,129,19.8,11.88,36
7,1,1,1,51,57,20.0,0.0,54
7,1,1,1,10,91,112.0,0.0,36
7,1,1,1,7,26,50.0,0.0,36
7,1,1,1,42,26,37.0,0.0,36
7,1,1,1,11,129,32.0,0.0,36
7,1,1,1,12,26,36.0,0.0,36
7,1,1,1,16,139,112.0,0.0,36
